time;logger;level;database;threadid;message;exception
2018-06-08 17:46:11.2386;Raven.Database.DocumentDatabase;Debug;<system>;1;Start loading the following database: <system>;
2018-06-08 17:46:12.2035;Raven.Database.Impl.DocumentCacher;Info;<system>;1;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3160408064
  PollingInterval     = 00:02:00";
2018-06-08 17:46:12.2412;Raven.Database.Storage.Esent.StorageConfigurator;Info;<system>;1;"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2018-06-08 17:46:12.2412;Raven.Storage.Esent.TransactionalStorage;Info;<system>;1;"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2018-06-08 17:46:15.5901;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Reading index definitions from disk...;
2018-06-08 17:46:15.5901;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Read 0 index definitions;
2018-06-08 17:46:15.5901;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Reading transformer definitions from disk...;
2018-06-08 17:46:15.5901;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Read 0 transform definitions;
2018-06-08 17:46:15.6682;Raven.Database.Indexing.IndexStorage;Debug;<system>;1;Start opening indexes. There are 0 indexes that need to be loaded;
2018-06-08 17:46:15.6682;Raven.Database.Indexing.IndexStorage;Debug;<system>;1;Index storage initialized. All indexes have been opened.;
2018-06-08 17:46:15.7372;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;1;Document with key 'Raven/Backup/Status' was not found;
2018-06-08 17:46:15.7906;Raven.Database.Actions.LastCollectionEtags;Debug;<system>;1;Starting to initialize last collection etags based on indexes ...;
2018-06-08 17:46:15.7906;Raven.Database.DocumentDatabase;Debug;<system>;1;Finish loading the following database: <system>;
2018-06-08 17:46:15.8219;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;1;Document with key 'Raven/Authorization/WindowsSettings' was not found;
2018-06-08 17:46:15.8219;Raven.Database.Indexing.WorkContext;Debug;;23;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2018-06-08 17:46:15.8375;Raven.Database.Indexing.IndexingExecuter;Debug;;22;No tasks to execute were found!;
2018-06-08 17:46:15.8375;Raven.Database.Indexing.IndexingExecuter;Debug;;22;Executed 0 tasks, processed documents: 0, took 29ms;
2018-06-08 17:46:15.8375;Raven.Database.Indexing.WorkContext;Debug;;22;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2018-06-08 17:46:16.5706;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;1;Document with key 'Raven/Cluster/Configuration' was not found;
2018-06-08 17:46:18.5340;Raven.Client.Connection.Async.AsyncServerClient;Warn;;5;Was unable to fetch topology from primary node http://localhost also there is no cached topology;
2018-06-08 17:46:23.6804;Raven.Database.Server.WebApi.RequestManager;Debug;;30;Receive Request #   1: GET     -  - http://localhost:8080/singleAuthToken;
2018-06-08 17:46:23.7494;Raven.Database.Server.WebApi.RequestManager;Debug;<system>;30;Request #   1: GET     -    65 ms -            - 200 - http://localhost:8080/singleAuthToken;
2018-06-08 17:46:23.7494;Raven.Database.Server.WebApi.RequestManager;Debug;;31;Receive Request #   2: GET     -  - http://localhost:8080/studio-tasks/server-configs;
2018-06-08 17:46:23.7650;Raven.Database.Server.WebApi.RequestManager;Debug;;29;Receive Request #   4: GET     -  - http://localhost:8080/databases?getAdditionalData=true;
2018-06-08 17:46:23.7962;Raven.Database.Server.WebApi.RequestManager;Debug;;37;Receive Request #   5: GET     -  - http://localhost:8080/license/status;
2018-06-08 17:46:23.7962;Raven.Database.Server.WebApi.RequestManager;Debug;<system>;31;Request #   2: GET     -    39 ms -            - 200 - http://localhost:8080/studio-tasks/server-configs;
2018-06-08 17:46:23.7650;Raven.Database.Server.WebApi.RequestManager;Debug;;26;Receive Request #   3: GET     -  - http://localhost:8080/fs?getAdditionalData=true;
2018-06-08 17:46:23.8587;Raven.Database.Server.WebApi.RequestManager;Debug;<system>;37;Request #   5: GET     -    58 ms -            - 200 - http://localhost:8080/license/status;
2018-06-08 17:46:24.0618;Raven.Database.Server.WebApi.RequestManager;Debug;<system>;29;Request #   4: GET     -   295 ms -            - 200 - http://localhost:8080/databases?getAdditionalData=true;
2018-06-08 17:46:24.1021;Raven.Database.Server.WebApi.RequestManager;Debug;;30;Receive Request #   6: GET     -  - http://localhost:8080/changes/config?id=QQB69&command=watch-prefix&value=Raven%2FDatabases%2F;
2018-06-08 17:46:24.0618;Raven.Database.Server.WebApi.RequestManager;Debug;<system>;26;Request #   3: GET     -   300 ms -            - 200 - http://localhost:8080/fs?getAdditionalData=true;
2018-06-08 17:46:24.1021;Raven.Database.Server.WebApi.RequestManager;Debug;;31;Receive Request #   8: GET     -  - http://localhost:8080/changes/config?id=QQB69&command=watch-prefix&value=Raven%2FCounters%2F;
2018-06-08 17:46:24.1021;Raven.Database.Server.WebApi.RequestManager;Debug;;37;Receive Request #   7: GET     -  - http://localhost:8080/changes/config?id=QQB69&command=watch-prefix&value=Raven%2FFileSystems%2F;
2018-06-08 17:46:24.1021;Raven.Database.Server.WebApi.RequestManager;Debug;;29;Receive Request #   9: GET     -  - http://localhost:8080/changes/config?id=QQB69&command=watch-prefix&value=Raven%2FTimeSeries%2F;
