time;logger;level;database;threadid;message;exception
2018-06-12 20:26:43.0871;Raven.Database.DocumentDatabase;Debug;<system>;1;Start loading the following database: <system>;
2018-06-12 20:26:45.3660;Raven.Database.Impl.DocumentCacher;Info;<system>;1;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3160408064
  PollingInterval     = 00:02:00";
2018-06-12 20:26:45.4082;Raven.Database.Storage.Esent.StorageConfigurator;Info;<system>;1;"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2018-06-12 20:26:45.4082;Raven.Storage.Esent.TransactionalStorage;Info;<system>;1;"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
2018-06-12 20:26:48.2224;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Reading index definitions from disk...;
2018-06-12 20:26:48.2344;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Read 0 index definitions;
2018-06-12 20:26:48.2344;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Reading transformer definitions from disk...;
2018-06-12 20:26:48.2344;Raven.Database.Storage.IndexDefinitionStorage;Debug;<system>;1;Read 0 transform definitions;
2018-06-12 20:26:48.4536;Raven.Database.Indexing.IndexStorage;Debug;<system>;1;Start opening indexes. There are 0 indexes that need to be loaded;
2018-06-12 20:26:48.4536;Raven.Database.Indexing.IndexStorage;Debug;<system>;1;Index storage initialized. All indexes have been opened.;
2018-06-12 20:26:48.9081;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;<system>;1;Document with key 'Raven/Backup/Status' was not found;
2018-06-12 20:26:48.9785;Raven.Database.Actions.LastCollectionEtags;Debug;<system>;1;Starting to initialize last collection etags based on indexes ...;
2018-06-12 20:26:49.0088;Raven.Database.DocumentDatabase;Debug;<system>;1;Finish loading the following database: <system>;
2018-06-12 20:26:49.0921;Raven.Database.Indexing.WorkContext;Debug;;23;No work was found, workerWorkCounter: 0, for: ReducingExecuter, will wait for additional work;
2018-06-12 20:26:49.0921;Raven.Database.Indexing.IndexingExecuter;Debug;;22;No tasks to execute were found!;
2018-06-12 20:26:49.0921;Raven.Database.Indexing.IndexingExecuter;Debug;;22;Executed 0 tasks, processed documents: 0, took 68ms;
2018-06-12 20:26:49.0921;Raven.Database.Indexing.WorkContext;Debug;;22;No work was found, workerWorkCounter: 0, for: IndexingExecuter, will wait for additional work;
2018-06-12 20:26:49.1191;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;1;Document with key 'Raven/Authorization/WindowsSettings' was not found;
2018-06-12 20:26:50.8530;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;1;Document with key 'Raven/Cluster/Configuration' was not found;
2018-06-12 20:26:53.2192;Raven.Client.Connection.Async.AsyncServerClient;Warn;;5;Was unable to fetch topology from primary node http://localhost also there is no cached topology;
2018-06-12 20:27:01.0956;Raven.Database.Config.SystemInfoLoggin;Debug;;30;"Version: 35247 / 12375b3d5e
Total Mem: 8 077MB, Available: 2 984MB, Mem limit: MB, Low mem: False
DebugInfo for Database '' :
= = = = = = = = = = = = = = = = 
	Metrics:: DocsWritesPerSecond: 0,000, IndexedPerSecond: 0,000, ReducedPerSecond: 0,000, RequestsPerSecond: 0,000
	Metrics.Requests:: Count: , OneMinuteRate: 0,000, MeanRate: 0,000
	Metrics.RequestsDuration:: Counter: , Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
Last DB Etag=F34B0395-5FCA-6A6E-468C-4DFAE1D9DCB5
";
2018-06-12 20:27:18.4046;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;30;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:27:48.4188;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;30;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:28:18.4231;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;31;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:28:48.4356;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;31;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:29:00.9709;Raven.Database.Config.SystemInfoLoggin;Debug;;31;"Version: 35247 / 12375b3d5e
Total Mem: 8 077MB, Available: 3 026MB, Mem limit: MB, Low mem: False
DebugInfo for Database '' :
= = = = = = = = = = = = = = = = 
	Metrics:: DocsWritesPerSecond: 0,000, IndexedPerSecond: 0,000, ReducedPerSecond: 0,000, RequestsPerSecond: 0,000
	Metrics.Requests:: Count: , OneMinuteRate: 0,000, MeanRate: 0,000
	Metrics.RequestsDuration:: Counter: , Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
Last DB Etag=F34B0395-5FCA-6A6E-468C-4DFAE1D9DCB5
";
2018-06-12 20:29:18.4492;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;32;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:29:48.4679;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;32;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:30:18.4801;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;32;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:30:48.4924;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;36;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:31:00.9717;Raven.Database.Config.SystemInfoLoggin;Debug;;32;"Version: 35247 / 12375b3d5e
Total Mem: 8 077MB, Available: 2 770MB, Mem limit: MB, Low mem: False
DebugInfo for Database '' :
= = = = = = = = = = = = = = = = 
	Metrics:: DocsWritesPerSecond: 0,000, IndexedPerSecond: 0,000, ReducedPerSecond: 0,000, RequestsPerSecond: 0,000
	Metrics.Requests:: Count: , OneMinuteRate: 0,000, MeanRate: 0,000
	Metrics.RequestsDuration:: Counter: , Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
	Metrics.StaleIndexMaps:: Counter: 1, Max: 0,000, Min: 0,000, Mean: 0,000, Stdev: 0,000
Last DB Etag=F34B0395-5FCA-6A6E-468C-4DFAE1D9DCB5
";
2018-06-12 20:31:18.5060;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;32;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:31:48.5206;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;32;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:32:18.5386;Raven.Database.Impl.DTC.InFlightTransactionalState;Info;;34;Performing Transactions Cleanup Sequence for db <system>;
2018-06-12 20:32:19.2654;Raven.Database.Storage.Esent.StorageActions.DocumentStorageActions;Debug;;26;Document with key 'Raven/Databases/RavenDBFirstSteps' was found, etag: 01000000-0000-0001-0000-000000000003;
2018-06-12 20:32:19.3591;Raven.Database.DocumentDatabase;Debug;RavenDBFirstSteps;30;Start loading the following database: RavenDBFirstSteps;
2018-06-12 20:32:19.3591;Raven.Database.Impl.DocumentCacher;Info;RavenDBFirstSteps;30;"MemoryCache Settings:
  PhysicalMemoryLimit = 99
  CacheMemoryLimit    = 3160408064
  PollingInterval     = 00:02:00";
2018-06-12 20:32:19.3591;Raven.Database.Storage.Esent.StorageConfigurator;Info;RavenDBFirstSteps;30;"Esent Settings:
  MaxVerPages      = 8192
  CacheSizeMax     = 262144
  DatabasePageSize = 4096";
